"","Race","Gender","traffic","Arrest","BondAmount","druggun","Patrol","Officer","Date","Day","Time","qol","UseOfForce","SearchConducted","Stopped","TimeZone"
"1","Black","Man",FALSE,TRUE,NA,FALSE,"D2","GOMEZ, E.  (23799)  UPB",2021-02-03,"Wed",16:07:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"2","Black","Man",FALSE,FALSE,1500,FALSE,"D2","NORRIS, R.  (25004)  UPB",2020-12-29,"Tue",13:46:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"3","Black","Man",FALSE,TRUE,500,FALSE,"D2","HEUSTIS, S.  (23380)  UPB",2021-03-02,"Tue",15:27:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"4","White","Woman",FALSE,TRUE,NA,FALSE,"D2","ORTIZ, A.  (23815)  UPB",2020-06-12,"Fri",00:28:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"5","Black","Man",FALSE,TRUE,NA,FALSE,"D2","PARKSTONE, N.  (21823)  UPB",2022-03-07,"Mon",21:51:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"6","Black","Man",FALSE,TRUE,NA,FALSE,"D2","COX, D.  (23377)  UPB",2020-02-27,"Thu",01:45:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"7","White","Man",FALSE,FALSE,1000,FALSE,"D2","FINCH, P. J. (23328)  UPB",2019-05-05,"Sun",19:08:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"8","Black","Man",FALSE,FALSE,50000,FALSE,"D2","FINCH, P. J. (23328)  UPB",2021-01-18,"Mon",22:01:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"9","Black","Man",FALSE,TRUE,NA,FALSE,"D2","FINCH, P. J. (23328)  UPB",2021-06-10,"Thu",19:40:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"10","White","Woman",FALSE,TRUE,5000,FALSE,"D2","FINCH, P. J. (23328)  UPB",2021-06-16,"Wed",08:52:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"11","Black","Man",TRUE,FALSE,3500,TRUE,"D2","KELLAR, J. C. (20619)  ISB",2020-08-01,"Sat",18:45:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"12","Black","Man",FALSE,TRUE,1000,FALSE,"D2","MARTINEZ, L. E. (22151)  UPB",2022-02-09,"Wed",11:59:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"13","White","Man",FALSE,FALSE,1500,FALSE,"D2","TAORMINA, M. S. (21826)  UPB",2018-10-02,"Tue",22:08:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"14","White","Man",FALSE,TRUE,NA,FALSE,"D2","QUESADA, A.  (23794)  UPB",2020-04-17,"Fri",21:07:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"15","White","Man",FALSE,TRUE,NA,FALSE,"D2","QUESADA, A.  (23794)  UPB",2020-04-17,"Fri",21:07:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"16","White","Man",FALSE,TRUE,NA,FALSE,"D2","QUESADA, A.  (23794)  UPB",2020-04-17,"Fri",21:07:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"17","White","Man",FALSE,TRUE,NA,FALSE,"D2","MOUZON, B.  (23793)  UPB",2019-10-13,"Sun",02:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"18","Black","Man",FALSE,TRUE,NA,FALSE,"D2","HUMPHREY, R.  (10049)  UPB",2022-04-17,"Sun",13:10:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"19","White","Man",FALSE,TRUE,NA,FALSE,"D2","JORGENSON, D. J. (21142)  IS",2019-02-06,"Wed",01:26:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"20","White","Man",FALSE,TRUE,NA,TRUE,"D2","ACKER, A. M. (21367)  UPB",2021-11-14,"Sun",15:23:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"21","Black","Man",FALSE,FALSE,NA,FALSE,"D2","HARRIS, J. E. (17141)  UPB",2021-03-30,"Tue",21:41:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"22","Black","Man",FALSE,TRUE,NA,FALSE,"D2","HARRIS, J. E. (17141)  UPB",2021-03-30,"Tue",21:41:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"23","White","Woman",FALSE,FALSE,3000,TRUE,"D2","HUFHAM, K. H. (22842)  UPB",2019-07-28,"Sun",03:10:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"24","Black","Man",FALSE,FALSE,3500,FALSE,"D2","FINCH, P. J. (23328)  UPB",2022-01-20,"Thu",02:00:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"25","Black","Man",FALSE,TRUE,NA,FALSE,"D2","FINCH, P. J. (23328)  UPB",2022-01-20,"Thu",02:44:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"26","Black","Woman",FALSE,FALSE,30000,TRUE,"D2","WIESEMANN, C. E. (6297)  UPB",2019-02-03,"Sun",00:25:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"27","Black","Man",FALSE,FALSE,2500,FALSE,"D2","CORNATZER, R. S. (5466)  UPB",2019-10-07,"Mon",23:03:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"28","Black","Man",FALSE,TRUE,50000,FALSE,"D2","SHEPARD, A. J. (13659)  ISB",2019-01-12,"Sat",20:00:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"29","White","Man",FALSE,TRUE,NA,TRUE,"D2","STEBBINS, T. D. (22123)  UPB",2019-08-06,"Tue",01:40:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"30","White","Man",FALSE,TRUE,1500,FALSE,"D2","STEBBINS, T. D. (22123)  UPB",2019-08-06,"Tue",01:45:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"31","White","Man",FALSE,TRUE,NA,FALSE,"D2","STEBBINS, T. D. (22123)  UPB",2019-08-06,"Tue",01:47:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"32","Black","Man",FALSE,FALSE,1000,FALSE,"D2","KRAMER, A.  (23814)  UPB",2019-05-12,"Sun",02:41:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"33","Black","Woman",TRUE,FALSE,1500,FALSE,"D2","PARK, C.  (23316)  UPB",2020-04-18,"Sat",03:52:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"34","Black","Woman",FALSE,FALSE,2500,FALSE,"D2","INTHISANE, R.  (23382)  UPB",2021-01-10,"Sun",05:49:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"35","Black","Man",FALSE,TRUE,2500,FALSE,"D2","ROGERS, G.  (20019)  UPB",2019-06-21,"Fri",16:33:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"36","Black","Man",FALSE,FALSE,2500,TRUE,"D2","ROGERS, G.  (20019)  UPB",2019-06-21,"Fri",17:17:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"37","Black","Man",FALSE,TRUE,1000,FALSE,"D2","FINCH, P. J. (23328)  UPB",2019-04-04,"Thu",08:34:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"38","Black","Woman",FALSE,FALSE,1500,FALSE,"D2","TAORMINA, M. S. (21826)  UPB",2021-09-11,"Sat",03:12:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"39","Black","Man",FALSE,FALSE,1500,FALSE,"D2","EVANS, R. C. (24193)  UPB",2021-08-21,"Sat",02:18:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"40","White","Woman",FALSE,FALSE,NA,FALSE,"D2","INTHISANE, R.  (23382)  UPB",2021-08-29,"Sun",13:57:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"41","Black","Man",FALSE,TRUE,NA,FALSE,"D2","ADAMS, M.  (23801)  UPB",2019-06-21,"Fri",20:34:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"42","White","Woman",FALSE,FALSE,2500,FALSE,"D2","COOPER, M. W. (22871)  UPB",2020-08-01,"Sat",23:33:00,FALSE,"Yes","Yes","Yes","US/Eastern"
